Index,Formula,K,Rb,Cs,MA,FA,Ca,Sr,Ba,Ge,Sn,Pb,Cl,Br,I,Cubic,Tetra,Ortho,Hex,A_ion_rad,A_BP,A_MP,A_dens,A_at_wt,A_EA,A_IE,A_hof,A_hov,A_En,A_at_num,A_period,B_ion_rad,B_BP,B_MP,B_dens,B_at_wt,B_EA,B_IE,B_hof,B_hov,B_En,B_at_num,B_period,X_ion_rad,X_BP,X_MP,X_dens,X_at_wt,X_EA,X_IE,X_hof,X_hov,X_En,X_at_num,X_period
13,MAPb0.4Sn0.6I3,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.60,0.40,0.00,0.00,1.00,1.00,0.00,0.00,0.00,2.17,267.00,180.65,0.70,32.07,8.68,926.30,6.13,23.85,2.55,73.00,7.00,1.17,2534.80,543.33,8.93,154.11,116.60,711.36,6.23,245.38,2.11,62.80,5.40,2.20,457.50,386.70,4.93,126.90,295.30,1008.40,7.76,20.90,2.66,53.00,5.00
14,MAPb0.4Sn0.6I2.6Br0.4,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.60,0.40,0.00,0.13,0.87,1.00,0.00,0.00,0.00,2.17,267.00,180.65,0.70,32.07,8.68,926.30,6.13,23.85,2.55,73.00,7.00,1.17,2534.80,543.33,8.93,154.11,116.60,711.36,6.23,245.38,2.11,62.80,5.40,2.17,440.75,370.60,4.69,120.64,299.21,1025.93,7.43,20.08,2.70,50.60,4.87
15,FAPb0.7Sn0.3I3,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.30,0.70,0.00,0.00,1.00,1.00,0.00,0.00,0.00,2.53,319.00,354.00,1.10,45.06,8.60,849.10,6.50,29.00,2.57,91.00,8.00,1.18,2278.90,571.99,10.14,180.65,113.30,713.43,5.50,211.64,2.22,72.40,5.70,2.20,457.50,386.70,4.93,126.90,295.30,1008.40,7.76,20.90,2.66,53.00,5.00
16,FA0.3MA0.7Pb0.7Sn0.3I3,0.00,0.00,0.00,0.70,0.30,0.00,0.00,0.00,0.00,0.30,0.70,0.00,0.00,1.00,1.00,0.00,0.00,0.00,2.28,282.60,232.66,0.82,35.96,8.66,903.14,6.24,25.40,2.56,78.40,7.30,1.18,2278.90,571.99,10.14,180.65,113.30,713.43,5.50,211.64,2.22,72.40,5.70,2.20,457.50,386.70,4.93,126.90,295.30,1008.40,7.76,20.90,2.66,53.00,5.00
17,FAPb0.75Sn0.25I3,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.25,0.75,0.00,0.00,1.00,1.00,0.00,0.00,0.00,2.53,319.00,354.00,1.10,45.06,8.60,849.10,6.50,29.00,2.57,91.00,8.00,1.18,2236.25,576.77,10.34,185.08,112.75,713.77,5.38,206.02,2.24,74.00,5.75,2.20,457.50,386.70,4.93,126.90,295.30,1008.40,7.76,20.90,2.66,53.00,5.00
18,MAPb0.75Sn0.25I3,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.25,0.75,0.00,0.00,1.00,1.00,0.00,0.00,0.00,2.17,267.00,180.65,0.70,32.07,8.68,926.30,6.13,23.85,2.55,73.00,7.00,1.18,2236.25,576.77,10.34,185.08,112.75,713.77,5.38,206.02,2.24,74.00,5.75,2.20,457.50,386.70,4.93,126.90,295.30,1008.40,7.76,20.90,2.66,53.00,5.00
19,FA0.7MA0.3Pb0.7Sn0.3I3,0.00,0.00,0.00,0.30,0.70,0.00,0.00,0.00,0.00,0.30,0.70,0.00,0.00,1.00,1.00,0.00,0.00,0.00,2.42,303.40,301.99,0.98,41.16,8.63,872.26,6.39,27.45,2.56,85.60,7.70,1.18,2278.90,571.99,10.14,180.65,113.30,713.43,5.50,211.64,2.22,72.40,5.70,2.20,457.50,386.70,4.93,126.90,295.30,1008.40,7.76,20.90,2.66,53.00,5.00
20,MAPb0.6Sn0.4I3,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.40,0.60,0.00,0.00,1.00,1.00,0.00,0.00,0.00,2.17,267.00,180.65,0.70,32.07,8.68,926.30,6.13,23.85,2.55,73.00,7.00,1.17,2364.20,562.44,9.73,171.80,114.40,712.74,5.74,222.89,2.18,69.20,5.60,2.20,457.50,386.70,4.93,126.90,295.30,1008.40,7.76,20.90,2.66,53.00,5.00
21,MAPb0.7Sn0.3I3,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.30,0.70,0.00,0.00,1.00,1.00,0.00,0.00,0.00,2.17,267.00,180.65,0.70,32.07,8.68,926.30,6.13,23.85,2.55,73.00,7.00,1.18,2278.90,571.99,10.14,180.65,113.30,713.43,5.50,211.64,2.22,72.40,5.70,2.20,457.50,386.70,4.93,126.90,295.30,1008.40,7.76,20.90,2.66,53.00,5.00
22,FASnI3,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,2.53,319.00,354.00,1.10,45.06,8.60,849.10,6.50,29.00,2.57,91.00,8.00,1.15,2876.00,505.12,7.31,118.71,121.00,708.60,7.20,290.37,1.96,50.00,5.00,2.20,457.50,386.70,4.93,126.90,295.30,1008.40,7.76,20.90,2.66,53.00,5.00
