Index,Formula,K,Rb,Cs,MA,FA,Ca,Sr,Ba,Ge,Sn,Pb,Cl,Br,I,Cubic,Tetra,Ortho,Hex,A_ion_rad,A_BP,A_MP,A_dens,A_at_wt,A_EA,A_IE,A_hof,A_hov,A_En,A_at_num,A_period,B_ion_rad,B_BP,B_MP,B_dens,B_at_wt,B_EA,B_IE,B_hof,B_hov,B_En,B_at_num,B_period,X_ion_rad,X_BP,X_MP,X_dens,X_at_wt,X_EA,X_IE,X_hof,X_hov,X_En,X_at_num,X_period
51,FA0.17Cs0.83PbI1.8Br1.2,0.00,0.00,0.83,0.00,0.17,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.40,0.60,1.00,0.00,0.00,0.00,1.87,837.75,310.46,1.74,117.97,39.22,456.18,2.84,61.15,1.09,61.12,6.34,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.10,407.24,338.40,4.21,108.10,307.02,1061.00,6.77,18.43,2.78,45.80,4.60
52,MAPbBrI2,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.33,0.67,1.00,0.00,0.00,0.00,2.17,267.00,180.65,0.70,32.07,8.68,926.30,6.13,23.85,2.55,73.00,7.00,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.12,415.62,346.45,4.33,111.24,305.07,1052.23,6.94,18.84,2.76,47.00,4.67
53,FA0.6Cs0.4Pb(I0.65Br0.35)3,0.00,0.00,0.40,0.00,0.60,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.35,0.65,1.00,0.00,0.00,0.00,2.21,569.00,333.02,1.41,80.20,23.36,659.74,4.74,44.50,1.86,76.60,7.20,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.12,413.52,344.44,4.30,110.45,305.55,1054.42,6.89,18.74,2.76,46.70,4.65
54,FAPbI1.5Br1.5/CsPbI1.5Br1.5,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.50,0.50,1.00,0.00,0.00,0.00,2.53,319.00,354.00,1.10,45.06,8.60,849.10,6.50,29.00,2.57,91.00,8.00,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.08,394.68,326.32,4.03,103.40,309.95,1074.15,6.52,17.81,2.81,44.00,4.50
55,MA0.85Cs0.15Pb(I0.65Br0.35)3,0.00,0.00,0.15,0.85,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.35,0.65,1.00,0.00,0.00,0.00,2.11,368.55,198.78,0.88,47.19,14.20,843.71,5.52,30.43,2.29,70.30,6.85,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.12,413.52,344.44,4.30,110.45,305.55,1054.42,6.89,18.74,2.76,46.70,4.65
56,Cs0.2FA0.8Pb(I0.6Br0.4)3-DAP,0.00,0.00,0.20,0.00,0.80,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.40,0.60,1.00,0.00,0.00,0.00,2.37,444.00,343.51,1.25,62.63,15.98,754.42,5.62,36.75,2.21,83.80,7.60,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.10,407.24,338.40,4.21,108.10,307.02,1061.00,6.77,18.43,2.78,45.80,4.60
57,FA0.17Cs0.83PbI1.5Br1.5,0.00,0.00,0.83,0.00,0.17,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.50,0.50,1.00,0.00,0.00,0.00,1.87,837.75,310.46,1.74,117.97,39.22,456.18,2.84,61.15,1.09,61.12,6.34,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.08,394.68,326.32,4.03,103.40,309.95,1074.15,6.52,17.81,2.81,44.00,4.50
58,CsPb0.8Ba0.2I2Br,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.80,0.00,0.33,0.67,1.00,0.00,0.00,0.00,1.74,944.00,301.54,1.87,132.91,45.49,375.70,2.09,67.74,0.79,55.00,6.00,1.24,2034.00,680.92,9.80,193.23,77.60,672.98,5.42,170.36,2.04,76.80,6.00,2.12,415.62,346.45,4.33,111.24,305.07,1052.23,6.94,18.84,2.76,47.00,4.67
59,CsPbI2Br,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.33,0.67,1.00,0.00,0.00,0.00,1.74,944.00,301.54,1.87,132.91,45.49,375.70,2.09,67.74,0.79,55.00,6.00,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.12,415.62,346.45,4.33,111.24,305.07,1052.23,6.94,18.84,2.76,47.00,4.67
60,FA0.17Cs0.83PbI1.2Br1.8,0.00,0.00,0.83,0.00,0.17,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.60,0.40,1.00,0.00,0.00,0.00,1.87,837.75,310.46,1.74,117.97,39.22,456.18,2.84,61.15,1.09,61.12,6.34,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.06,382.11,314.25,3.84,98.70,312.88,1087.30,6.28,17.20,2.84,42.20,4.40
61,Cs0.15FA0.85Pb(I0.3Br0.7)3,0.00,0.00,0.15,0.00,0.85,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.70,0.30,1.00,0.00,0.00,0.00,2.41,412.75,346.13,1.22,58.23,14.13,778.09,5.84,34.81,2.30,85.60,7.70,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.03,369.54,302.17,3.66,94.00,315.81,1100.45,6.03,16.58,2.87,40.40,4.30
62,MAPb(I0.41Br0.59)3,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.59,0.41,1.00,0.00,0.00,0.00,2.17,267.00,180.65,0.70,32.07,8.68,926.30,6.13,23.85,2.55,73.00,7.00,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.06,383.37,315.46,3.86,99.17,312.59,1085.98,6.30,17.26,2.84,42.38,4.41
63,MAPbIBr2,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.67,0.33,1.00,0.00,0.00,0.00,2.17,267.00,180.65,0.70,32.07,8.68,926.30,6.13,23.85,2.55,73.00,7.00,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.04,373.73,306.20,3.72,95.57,314.83,1096.07,6.11,16.78,2.86,41.00,4.33
64,CsPbIBr2,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.67,0.33,1.00,0.00,0.00,0.00,1.74,944.00,301.54,1.87,132.91,45.49,375.70,2.09,67.74,0.79,55.00,6.00,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.04,373.73,306.20,3.72,95.57,314.83,1096.07,6.11,16.78,2.86,41.00,4.33
65,(FA0.85MA0.15Pb(I0.85Br0.15)3),0.00,0.00,0.00,0.15,0.85,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.15,0.85,1.00,0.00,0.00,0.00,2.48,311.20,328.00,1.04,43.11,8.61,860.68,6.44,28.23,2.57,88.30,7.85,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.16,438.65,368.59,4.66,119.85,299.69,1028.12,7.39,19.97,2.70,50.30,4.85
66,FAPbBr3,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,2.53,319.00,354.00,1.10,45.06,8.60,849.10,6.50,29.00,2.57,91.00,8.00,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,1.96,331.85,265.95,3.12,79.90,324.60,1139.90,5.29,14.72,2.96,35.00,4.00
67,CsPbBr3,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.74,944.00,301.54,1.87,132.91,45.49,375.70,2.09,67.74,0.79,55.00,6.00,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,1.96,331.85,265.95,3.12,79.90,324.60,1139.90,5.29,14.72,2.96,35.00,4.00
68,MAPbBr3,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,2.17,267.00,180.65,0.70,32.07,8.68,926.30,6.13,23.85,2.55,73.00,7.00,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,1.96,331.85,265.95,3.12,79.90,324.60,1139.90,5.29,14.72,2.96,35.00,4.00
69,CsSnBr3,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.74,944.00,301.54,1.87,132.91,45.49,375.70,2.09,67.74,0.79,55.00,6.00,1.15,2876.00,505.12,7.31,118.71,121.00,708.60,7.20,290.37,1.96,50.00,5.00,1.96,331.85,265.95,3.12,79.90,324.60,1139.90,5.29,14.72,2.96,35.00,4.00
70,CsPbBr2.9I0.1,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.97,0.03,1.00,0.00,0.00,0.00,1.74,944.00,301.54,1.87,132.91,45.49,375.70,2.09,67.74,0.79,55.00,6.00,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,1.97,336.04,269.98,3.18,81.47,323.62,1135.52,5.37,14.93,2.95,35.60,4.03
71,Cs0.91Rb0.09PbBr3,0.00,0.09,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.73,945.53,302.54,1.84,128.64,45.62,378.16,2.11,67.87,0.79,53.38,5.91,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,1.96,331.85,265.95,3.12,79.90,324.60,1139.90,5.29,14.72,2.96,35.00,4.00
72,FAPbBr2.1Cl0.9,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.30,0.70,0.00,1.00,0.00,0.00,0.00,2.53,319.00,354.00,1.10,45.06,8.60,849.10,6.50,29.00,2.57,91.00,8.00,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,1.91,304.05,237.82,3.15,66.57,331.86,1173.26,4.66,13.37,3.02,29.60,3.70
73,FAPbBr2Cl,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.33,0.67,0.00,1.00,0.00,0.00,0.00,2.53,319.00,354.00,1.10,45.06,8.60,849.10,6.50,29.00,2.57,91.00,8.00,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,1.91,300.96,234.69,3.15,65.09,332.67,1176.97,4.59,13.22,3.03,29.00,3.67
74,MA0.7FA0.3PbI3,0.00,0.00,0.00,0.70,0.30,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,2.28,282.60,232.66,0.82,35.96,8.66,903.14,6.24,25.40,2.56,78.40,7.30,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.20,457.50,386.70,4.93,126.90,295.30,1008.40,7.76,20.90,2.66,53.00,5.00
75,FA0.945MA0.025Cs0.03Pb(I0.975Br0.025)3,0.00,0.00,0.03,0.03,0.94,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.03,0.97,1.00,0.00,0.00,0.00,2.50,336.45,348.09,1.11,47.37,9.71,836.83,6.36,30.03,2.52,89.47,7.91,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.19,454.36,383.68,4.88,125.73,296.03,1011.69,7.70,20.75,2.67,52.55,4.97
76,Cs0.05FA0.81MA0.14PbI2.55Br0.45,0.00,0.00,0.05,0.14,0.81,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.15,0.85,1.00,0.00,0.00,0.00,2.44,342.97,327.11,1.08,47.63,10.46,836.24,6.23,30.22,2.48,86.68,7.76,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.16,438.65,368.59,4.66,119.85,299.69,1028.12,7.39,19.97,2.70,50.30,4.85
77,Rb0.01K0.04(Cs0.05(FA0.83MA0.17)0.95)0.95(I0.83Br0.17)3,0.04,0.01,0.05,0.15,0.75,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.17,0.83,1.00,0.00,0.00,0.00,2.39,376.02,323.86,1.07,47.45,12.36,816.52,6.02,32.39,2.39,83.10,7.56,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.16,436.14,366.17,4.62,118.91,300.28,1030.75,7.34,19.85,2.71,49.94,4.83
78,Cs0.06FA0.79MA0.15PbI2.55Br0.45,0.00,0.00,0.06,0.15,0.79,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.15,0.85,1.00,0.00,0.00,0.00,2.43,348.70,324.85,1.09,48.38,10.83,832.28,6.18,30.55,2.46,86.14,7.73,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.16,438.65,368.59,4.66,119.85,299.69,1028.12,7.39,19.97,2.70,50.30,4.85
79,(FAPbI3)0.85(MAPbBr3)0.15,0.00,0.00,0.00,0.15,0.85,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.15,0.85,1.00,0.00,0.00,0.00,2.48,311.20,328.00,1.04,43.11,8.61,860.68,6.44,28.23,2.57,88.30,7.85,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.16,438.65,368.59,4.66,119.85,299.69,1028.12,7.39,19.97,2.70,50.30,4.85
80,(a-FAPbI3)0.5(MAPbI2Br)0.5,0.00,0.00,0.00,0.50,0.50,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.17,0.83,1.00,0.00,0.00,0.00,2.35,293.00,267.32,0.90,38.56,8.64,887.70,6.31,26.43,2.56,82.00,7.50,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.16,436.56,366.57,4.63,119.07,300.18,1030.32,7.35,19.87,2.71,50.00,4.83
81,Cs0.05(FA0.85MA0.15)0.95Pb(I0.85Br0.15)3,0.00,0.00,0.05,0.14,0.81,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.15,0.85,1.00,0.00,0.00,0.00,2.44,343.13,326.94,1.08,47.64,10.47,837.32,6.23,30.23,2.48,86.72,7.77,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.16,438.65,368.59,4.66,119.85,299.69,1028.12,7.39,19.97,2.70,50.30,4.85
82,MAPbI2.5Br0.5,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.17,0.83,1.00,0.00,0.00,0.00,2.17,267.00,180.65,0.70,32.07,8.68,926.30,6.13,23.85,2.55,73.00,7.00,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.16,436.56,366.57,4.63,119.07,300.18,1030.32,7.35,19.87,2.71,50.00,4.83
83,KxCs0.05(FA0.85MA0.15)0.95Pb(I0.85Br0.15)3,0.03,0.00,0.03,0.14,0.81,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.15,0.85,1.00,0.00,0.00,0.00,2.44,345.36,327.82,1.06,45.29,10.54,838.40,6.24,30.46,2.48,85.82,7.72,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.16,438.65,368.59,4.66,119.85,299.69,1028.12,7.39,19.97,2.70,50.30,4.85
84,MAPbI1.5Br1.5,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.50,0.50,1.00,0.00,0.00,0.00,2.17,267.00,180.65,0.70,32.07,8.68,926.30,6.13,23.85,2.55,73.00,7.00,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.08,394.68,326.32,4.03,103.40,309.95,1074.15,6.52,17.81,2.81,44.00,4.50
85,FAPbBr2.43Cl0.57,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.19,0.81,0.00,1.00,0.00,0.00,0.00,2.53,319.00,354.00,1.10,45.06,8.60,849.10,6.50,29.00,2.57,91.00,8.00,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,1.93,314.24,248.13,3.14,71.46,329.20,1161.03,4.89,13.87,3.00,31.58,3.81
86,MAPbCl3,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,2.17,267.00,180.65,0.70,32.07,8.68,926.30,6.13,23.85,2.55,73.00,7.00,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,1.81,239.18,172.17,3.21,35.45,348.80,1251.10,3.21,10.20,3.16,17.00,3.00
87,MAPbCl2.4Br0.6,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.80,0.20,0.00,1.00,0.00,0.00,0.00,2.17,267.00,180.65,0.70,32.07,8.68,926.30,6.13,23.85,2.55,73.00,7.00,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,1.84,257.71,190.93,3.20,44.34,343.96,1228.86,3.63,11.11,3.12,20.60,3.20
88,(FA0.83MA0.17)0.95Cs0.05Pb(I0.9Br0.1)3,0.00,0.00,0.05,0.16,0.79,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.10,0.90,1.00,0.00,0.00,0.00,2.43,342.14,323.65,1.07,47.39,10.47,838.79,6.23,30.13,2.48,86.37,7.75,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.18,444.94,374.63,4.75,122.20,298.23,1021.55,7.51,20.28,2.69,51.20,4.90
89,(FA0.79MA0.16Cs0.05)Pb(I0.84Br0.16)3,0.00,0.00,0.05,0.16,0.79,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.16,0.84,1.00,0.00,0.00,0.00,2.43,341.93,323.64,1.07,47.37,10.46,837.78,6.22,30.11,2.48,86.32,7.74,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.16,437.40,367.38,4.64,119.38,299.99,1029.44,7.36,19.91,2.71,50.12,4.84
90,Cs0.1(MA0.17FA0.83)0.9Pb(I0.83Br0.17)3,0.00,0.00,0.10,0.15,0.75,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.17,0.83,1.00,0.00,0.00,0.00,2.40,373.54,322.23,1.12,51.85,12.30,813.57,6.00,32.09,2.39,84.65,7.65,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.16,436.14,366.17,4.62,118.91,300.28,1030.75,7.34,19.85,2.71,49.94,4.83
91,Cs0.05(FA0.83MA0.17)0.95Pb(I0.83Br0.17)3,0.00,0.00,0.05,0.16,0.79,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.17,0.83,1.00,0.00,0.00,0.00,2.43,341.85,323.38,1.07,47.35,10.46,837.90,6.22,30.11,2.48,86.29,7.74,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.16,436.14,366.17,4.62,118.91,300.28,1030.75,7.34,19.85,2.71,49.94,4.83
92,Cs0.17FA0.83Pb(Br0.17I0.83)3,0.00,0.00,0.17,0.00,0.83,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.17,0.83,1.00,0.00,0.00,0.00,2.40,425.25,345.08,1.23,59.99,14.87,768.62,5.75,35.59,2.27,84.88,7.66,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.16,436.14,366.17,4.62,118.91,300.28,1030.75,7.34,19.85,2.71,49.94,4.83
93,CsSn0.5Ge0.5I3,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.74,944.00,301.54,1.87,132.91,45.49,375.70,2.09,67.74,0.79,55.00,6.00,1.01,2991.50,858.31,6.31,95.66,120.50,735.35,19.50,312.34,1.98,41.00,4.50,2.20,457.50,386.70,4.93,126.90,295.30,1008.40,7.76,20.90,2.66,53.00,5.00
94,CsSn_0.75Ge_0.25Br_3,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.25,0.75,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.74,944.00,301.54,1.87,132.91,45.49,375.70,2.09,67.74,0.79,55.00,6.00,1.08,2933.75,681.72,6.81,107.19,120.75,721.98,13.35,301.35,1.97,45.50,4.75,1.96,331.85,265.95,3.12,79.90,324.60,1139.90,5.29,14.72,2.96,35.00,4.00
95,CsSn_0.5Ge_0.5Br_3,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.74,944.00,301.54,1.87,132.91,45.49,375.70,2.09,67.74,0.79,55.00,6.00,1.01,2991.50,858.31,6.31,95.66,120.50,735.35,19.50,312.34,1.98,41.00,4.50,1.96,331.85,265.95,3.12,79.90,324.60,1139.90,5.29,14.72,2.96,35.00,4.00
96,CsSn_0.25Ge_0.75Br_3,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.75,0.25,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.74,944.00,301.54,1.87,132.91,45.49,375.70,2.09,67.74,0.79,55.00,6.00,0.94,3049.25,1034.90,5.82,84.13,120.25,748.73,25.65,323.32,2.00,36.50,4.25,1.96,331.85,265.95,3.12,79.90,324.60,1139.90,5.29,14.72,2.96,35.00,4.00
97,CsGeBr_3,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.74,944.00,301.54,1.87,132.91,45.49,375.70,2.09,67.74,0.79,55.00,6.00,0.87,3107.00,1211.50,5.32,72.61,120.00,762.10,31.80,334.30,2.01,32.00,4.00,1.96,331.85,265.95,3.12,79.90,324.60,1139.90,5.29,14.72,2.96,35.00,4.00
98,(FASnI3)0.6(MAPbI3)0.4,0.00,0.00,0.00,0.40,0.60,0.00,0.00,0.00,0.00,0.60,0.40,0.00,0.00,1.00,0.00,1.00,0.00,0.00,2.39,298.20,284.66,0.94,39.86,8.63,879.98,6.35,26.94,2.56,83.80,7.60,1.17,2534.80,543.33,8.93,154.11,116.60,711.36,6.23,245.38,2.11,62.80,5.40,2.20,457.50,386.70,4.93,126.90,295.30,1008.40,7.76,20.90,2.66,53.00,5.00
99,(FASnI3)0.6(MAPbI3)0.34(MAPbBr3)0.06,0.00,0.00,0.00,0.40,0.60,0.00,0.00,0.00,0.00,0.60,0.40,0.00,0.06,0.94,0.00,1.00,0.00,0.00,2.39,298.20,284.66,0.94,39.86,8.63,879.98,6.35,26.94,2.56,83.80,7.60,1.17,2534.80,543.33,8.93,154.11,116.60,711.36,6.23,245.38,2.11,62.80,5.40,2.19,449.96,379.45,4.82,124.08,297.06,1016.29,7.61,20.53,2.68,51.92,4.94
100,MA0.3FA0.7Pb0.5Sn0.5I3,0.00,0.00,0.00,0.30,0.70,0.00,0.00,0.00,0.00,0.50,0.50,0.00,0.00,1.00,0.00,1.00,0.00,0.00,2.42,303.40,301.99,0.98,41.16,8.63,872.26,6.39,27.45,2.56,85.60,7.70,1.17,2449.50,552.88,9.33,162.95,115.50,712.05,5.98,234.13,2.15,66.00,5.50,2.20,457.50,386.70,4.93,126.90,295.30,1008.40,7.76,20.90,2.66,53.00,5.00
101,FA0.5MA0.45Cs0.05Pb0.5Sn0.5I3,0.00,0.00,0.05,0.45,0.50,0.00,0.00,0.00,0.00,0.50,0.50,0.00,0.00,1.00,0.00,1.00,0.00,0.00,2.33,326.85,273.37,0.96,43.60,10.48,860.17,6.11,28.62,2.47,81.10,7.45,1.17,2449.50,552.88,9.33,162.95,115.50,712.05,5.98,234.13,2.15,66.00,5.50,2.20,457.50,386.70,4.93,126.90,295.30,1008.40,7.76,20.90,2.66,53.00,5.00
102,Cs0.025FA0.475MA0.5Sn0.5Pb0.5I3,0.00,0.00,0.03,0.50,0.47,0.00,0.00,0.00,0.00,0.50,0.50,0.00,0.00,1.00,0.00,1.00,0.00,0.00,2.33,308.62,266.01,0.92,40.76,9.56,875.86,6.20,27.39,2.52,81.10,7.45,1.17,2449.50,552.88,9.33,162.95,115.50,712.05,5.98,234.13,2.15,66.00,5.50,2.20,457.50,386.70,4.93,126.90,295.30,1008.40,7.76,20.90,2.66,53.00,5.00
103,FASn0.5Pb0.5I3,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.50,0.50,0.00,0.00,1.00,0.00,1.00,0.00,0.00,2.53,319.00,354.00,1.10,45.06,8.60,849.10,6.50,29.00,2.57,91.00,8.00,1.17,2449.50,552.88,9.33,162.95,115.50,712.05,5.98,234.13,2.15,66.00,5.50,2.20,457.50,386.70,4.93,126.90,295.30,1008.40,7.76,20.90,2.66,53.00,5.00
104,(FASnI3)0.6(MAPbI3)0.3(MAPbBr3)0.1,0.00,0.00,0.00,0.40,0.60,0.00,0.00,0.00,0.00,0.60,0.40,0.00,0.10,0.90,0.00,1.00,0.00,0.00,2.39,298.20,284.66,0.94,39.86,8.63,879.98,6.35,26.94,2.56,83.80,7.60,1.17,2534.80,543.33,8.93,154.11,116.60,711.36,6.23,245.38,2.11,62.80,5.40,2.18,444.94,374.63,4.75,122.20,298.23,1021.55,7.51,20.28,2.69,51.20,4.90
105,FA0.5MA0.5Pb0.5Sn0.5I3,0.00,0.00,0.00,0.50,0.50,0.00,0.00,0.00,0.00,0.50,0.50,0.00,0.00,1.00,0.00,1.00,0.00,0.00,2.35,293.00,267.32,0.90,38.56,8.64,887.70,6.31,26.43,2.56,82.00,7.50,1.17,2449.50,552.88,9.33,162.95,115.50,712.05,5.98,234.13,2.15,66.00,5.50,2.20,457.50,386.70,4.93,126.90,295.30,1008.40,7.76,20.90,2.66,53.00,5.00
106,CsSnI3,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.74,944.00,301.54,1.87,132.91,45.49,375.70,2.09,67.74,0.79,55.00,6.00,1.15,2876.00,505.12,7.31,118.71,121.00,708.60,7.20,290.37,1.96,50.00,5.00,2.20,457.50,386.70,4.93,126.90,295.30,1008.40,7.76,20.90,2.66,53.00,5.00
