Index,Formula,K,Rb,Cs,MA,FA,Ca,Sr,Ba,Ge,Sn,Pb,Cl,Br,I,Cubic,Tetra,Ortho,Hex,PBE,HSE,A_ion_rad,A_BP,A_MP,A_dens,A_at_wt,A_EA,A_IE,A_hof,A_hov,A_En,A_at_num,A_period,B_ion_rad,B_BP,B_MP,B_dens,B_at_wt,B_EA,B_IE,B_hof,B_hov,B_En,B_at_num,B_period,X_ion_rad,X_BP,X_MP,X_dens,X_at_wt,X_EA,X_IE,X_hof,X_hov,X_En,X_at_num,X_period
35504,CsBa0.125Ca0.125Pb0.375Sn0.125Sr0.250I3,0,0,1,0,0,0.13,0.25,0.13,0,0.13,0.38,0,0,1,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.21,2011.25,813.13,6.45,136.62,-11.63,630.85,6.81,174.09,1.59,56,5.38,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
35505,CsBa0.125Ca0.125Pb0.375Sn0.125Sr0.250Cl3,0,0,1,0,0,0.13,0.25,0.13,0,0.13,0.38,1,0,0,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.21,2011.25,813.13,6.45,136.62,-11.63,630.85,6.81,174.09,1.59,56,5.38,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17,3
35506,CsBa0.125Ca0.125Pb0.375Sn0.125Sr0.250Br3,0,0,1,0,0,0.13,0.25,0.13,0,0.13,0.38,0,1,0,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.21,2011.25,813.13,6.45,136.62,-11.63,630.85,6.81,174.09,1.59,56,5.38,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
35507,CsBa0.125Ca0.125Pb0.375Sn0.250Sr0.125I3,0,0,1,0,0,0.13,0.13,0.13,0,0.25,0.38,0,0,1,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.19,2163.88,746.02,7.04,140.51,24.5,650.74,6.68,193.28,1.72,57.5,5.38,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
35508,CsBa0.125Ca0.125Pb0.375Sn0.250Sr0.125Cl3,0,0,1,0,0,0.13,0.13,0.13,0,0.25,0.38,1,0,0,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.19,2163.88,746.02,7.04,140.51,24.5,650.74,6.68,193.28,1.72,57.5,5.38,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17,3
35509,CsBa0.125Ca0.125Pb0.375Sn0.250Sr0.125Br3,0,0,1,0,0,0.13,0.13,0.13,0,0.25,0.38,0,1,0,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.19,2163.88,746.02,7.04,140.51,24.5,650.74,6.68,193.28,1.72,57.5,5.38,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
35510,CsBa0.125Ca0.125Pb0.375Sn0.375I3,0,0,1,0,0,0.13,0,0.13,0,0.38,0.38,0,0,1,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.18,2316.5,678.91,7.64,144.39,60.63,670.63,6.56,212.46,1.84,59,5.38,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
35511,CsBa0.125Ca0.125Pb0.375Sn0.375Cl3,0,0,1,0,0,0.13,0,0.13,0,0.38,0.38,1,0,0,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.18,2316.5,678.91,7.64,144.39,60.63,670.63,6.56,212.46,1.84,59,5.38,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17,3
35512,CsBa0.125Ca0.125Pb0.375Sn0.375Br3,0,0,1,0,0,0.13,0,0.13,0,0.38,0.38,0,1,0,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.18,2316.5,678.91,7.64,144.39,60.63,670.63,6.56,212.46,1.84,59,5.38,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
35513,CsBa0.125Ca0.125Pb0.500Sr0.250I3,0,0,1,0,0,0.13,0.25,0.13,0,0,0.5,0,0,1,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.21,1904.63,825.08,6.95,147.68,-13,631.71,6.5,160.03,1.64,60,5.5,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
35514,CsBa0.125Ca0.125Pb0.500Sr0.250Cl3,0,0,1,0,0,0.13,0.25,0.13,0,0,0.5,1,0,0,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.21,1904.63,825.08,6.95,147.68,-13,631.71,6.5,160.03,1.64,60,5.5,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17,3
35515,CsBa0.125Ca0.125Pb0.500Sr0.250Br3,0,0,1,0,0,0.13,0.25,0.13,0,0,0.5,0,1,0,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.21,1904.63,825.08,6.95,147.68,-13,631.71,6.5,160.03,1.64,60,5.5,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
35516,CsBa0.125Ca0.125Pb0.500Sn0.125Sr0.125I3,0,0,1,0,0,0.13,0.13,0.13,0,0.13,0.5,0,0,1,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.2,2057.25,757.96,7.55,151.57,23.13,651.6,6.38,179.22,1.77,61.5,5.5,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
35517,CsBa0.125Ca0.125Pb0.500Sn0.125Sr0.125Cl3,0,0,1,0,0,0.13,0.13,0.13,0,0.13,0.5,1,0,0,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.2,2057.25,757.96,7.55,151.57,23.13,651.6,6.38,179.22,1.77,61.5,5.5,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17,3
35518,CsBa0.125Ca0.125Pb0.500Sn0.125Sr0.125Br3,0,0,1,0,0,0.13,0.13,0.13,0,0.13,0.5,0,1,0,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.2,2057.25,757.96,7.55,151.57,23.13,651.6,6.38,179.22,1.77,61.5,5.5,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
35519,CsBa0.125Ca0.125Pb0.500Sn0.250I3,0,0,1,0,0,0.13,0,0.13,0,0.25,0.5,0,0,1,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.19,2209.88,690.86,8.14,155.45,59.25,671.49,6.25,198.4,1.89,63,5.5,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
35520,CsBa0.125Ca0.125Pb0.500Sn0.250Cl3,0,0,1,0,0,0.13,0,0.13,0,0.25,0.5,1,0,0,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.19,2209.88,690.86,8.14,155.45,59.25,671.49,6.25,198.4,1.89,63,5.5,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17,3
35521,CsBa0.125Ca0.125Pb0.500Sn0.250Br3,0,0,1,0,0,0.13,0,0.13,0,0.25,0.5,0,1,0,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.19,2209.88,690.86,8.14,155.45,59.25,671.49,6.25,198.4,1.89,63,5.5,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
35522,CsBa0.125Ca0.125Pb0.625Sr0.125I3,0,0,1,0,0,0.13,0.13,0.13,0,0,0.63,0,0,1,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.2,1950.63,769.91,8.05,162.63,21.75,652.46,6.07,165.16,1.81,65.5,5.63,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
35523,CsBa0.125Ca0.125Pb0.625Sr0.125Cl3,0,0,1,0,0,0.13,0.13,0.13,0,0,0.63,1,0,0,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.2,1950.63,769.91,8.05,162.63,21.75,652.46,6.07,165.16,1.81,65.5,5.63,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17,3
35524,CsBa0.125Ca0.125Pb0.625Sr0.125Br3,0,0,1,0,0,0.13,0.13,0.13,0,0,0.63,0,1,0,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.2,1950.63,769.91,8.05,162.63,21.75,652.46,6.07,165.16,1.81,65.5,5.63,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
35525,CsBa0.125Ca0.125Pb0.625Sn0.125I3,0,0,1,0,0,0.13,0,0.13,0,0.13,0.63,0,0,1,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.19,2103.25,702.8,8.65,166.51,57.88,672.35,5.95,184.34,1.94,67,5.63,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
35526,CsBa0.125Ca0.125Pb0.625Sn0.125Cl3,0,0,1,0,0,0.13,0,0.13,0,0.13,0.63,1,0,0,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.19,2103.25,702.8,8.65,166.51,57.88,672.35,5.95,184.34,1.94,67,5.63,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17,3
35527,CsBa0.125Ca0.125Pb0.625Sn0.125Br3,0,0,1,0,0,0.13,0,0.13,0,0.13,0.63,0,1,0,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.19,2103.25,702.8,8.65,166.51,57.88,672.35,5.95,184.34,1.94,67,5.63,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
35528,CsBa0.125Ca0.125Pb0.750I3,0,0,1,0,0,0.13,0,0.13,0,0,0.75,0,0,1,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.19,1996.63,714.74,9.15,177.58,56.5,673.21,5.64,170.28,1.98,71,5.75,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
35529,CsBa0.125Ca0.125Pb0.750Cl3,0,0,1,0,0,0.13,0,0.13,0,0,0.75,1,0,0,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.19,1996.63,714.74,9.15,177.58,56.5,673.21,5.64,170.28,1.98,71,5.75,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17,3
35530,CsBa0.125Ca0.125Pb0.750Br3,0,0,1,0,0,0.13,0,0.13,0,0,0.75,0,1,0,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.19,1996.63,714.74,9.15,177.58,56.5,673.21,5.64,170.28,1.98,71,5.75,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
35531,CsBa0.125Ca0.125Ge0.125Sr0.625I3,0,0,1,0,0,0.13,0.63,0.13,0.13,0,0,0,0,1,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.2,1902.13,1066.94,2.9,86.01,-116,575.29,11.17,164.21,1.08,37.25,4.88,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
35532,CsBa0.125Ca0.125Ge0.125Sr0.625Cl3,0,0,1,0,0,0.13,0.63,0.13,0.13,0,0,1,0,0,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.2,1902.13,1066.94,2.9,86.01,-116,575.29,11.17,164.21,1.08,37.25,4.88,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17,3
35533,CsBa0.125Ca0.125Ge0.125Sr0.625Br3,0,0,1,0,0,0.13,0.63,0.13,0.13,0,0,0,1,0,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.2,1902.13,1066.94,2.9,86.01,-116,575.29,11.17,164.21,1.08,37.25,4.88,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
35534,CsBa0.125Ca0.125Ge0.125Sn0.125Sr0.500I3,0,0,1,0,0,0.13,0.5,0.13,0.13,0.13,0,0,0,1,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.19,2054.75,999.83,3.49,89.9,-79.88,595.18,11.04,183.39,1.21,38.75,4.88,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
35535,CsBa0.125Ca0.125Ge0.125Sn0.125Sr0.500Cl3,0,0,1,0,0,0.13,0.5,0.13,0.13,0.13,0,1,0,0,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.19,2054.75,999.83,3.49,89.9,-79.88,595.18,11.04,183.39,1.21,38.75,4.88,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17,3
35536,CsBa0.125Ca0.125Ge0.125Sn0.125Sr0.500Br3,0,0,1,0,0,0.13,0.5,0.13,0.13,0.13,0,0,1,0,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.19,2054.75,999.83,3.49,89.9,-79.88,595.18,11.04,183.39,1.21,38.75,4.88,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
35537,CsBa0.125Ca0.125Ge0.125Sn0.250Sr0.375I3,0,0,1,0,0,0.13,0.38,0.13,0.13,0.25,0,0,0,1,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.17,2207.38,932.72,4.09,93.79,-43.75,615.06,10.92,202.58,1.33,40.25,4.88,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
35538,CsBa0.125Ca0.125Ge0.125Sn0.250Sr0.375Cl3,0,0,1,0,0,0.13,0.38,0.13,0.13,0.25,0,1,0,0,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.17,2207.38,932.72,4.09,93.79,-43.75,615.06,10.92,202.58,1.33,40.25,4.88,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17,3
35539,CsBa0.125Ca0.125Ge0.125Sn0.250Sr0.375Br3,0,0,1,0,0,0.13,0.38,0.13,0.13,0.25,0,0,1,0,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.17,2207.38,932.72,4.09,93.79,-43.75,615.06,10.92,202.58,1.33,40.25,4.88,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
35540,CsBa0.125Ca0.125Ge0.125Sn0.375Sr0.250I3,0,0,1,0,0,0.13,0.25,0.13,0.13,0.38,0,0,0,1,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.16,2360,865.61,4.68,97.67,-7.63,634.95,10.79,221.76,1.46,41.75,4.88,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
35541,CsBa0.125Ca0.125Ge0.125Sn0.375Sr0.250Cl3,0,0,1,0,0,0.13,0.25,0.13,0.13,0.38,0,1,0,0,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.16,2360,865.61,4.68,97.67,-7.63,634.95,10.79,221.76,1.46,41.75,4.88,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17,3
35542,CsBa0.125Ca0.125Ge0.125Sn0.375Sr0.250Br3,0,0,1,0,0,0.13,0.25,0.13,0.13,0.38,0,0,1,0,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.16,2360,865.61,4.68,97.67,-7.63,634.95,10.79,221.76,1.46,41.75,4.88,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
35543,CsBa0.125Ca0.125Ge0.125Sn0.500Sr0.125I3,0,0,1,0,0,0.13,0.13,0.13,0.13,0.5,0,0,0,1,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.14,2512.63,798.5,5.28,101.56,28.5,654.84,10.67,240.94,1.59,43.25,4.88,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
35544,CsBa0.125Ca0.125Ge0.125Sn0.500Sr0.125Cl3,0,0,1,0,0,0.13,0.13,0.13,0.13,0.5,0,1,0,0,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.14,2512.63,798.5,5.28,101.56,28.5,654.84,10.67,240.94,1.59,43.25,4.88,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17,3
35545,CsBa0.125Ca0.125Ge0.125Sn0.500Sr0.125Br3,0,0,1,0,0,0.13,0.13,0.13,0.13,0.5,0,0,1,0,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.14,2512.63,798.5,5.28,101.56,28.5,654.84,10.67,240.94,1.59,43.25,4.88,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
35546,CsBa0.125Ca0.125Ge0.125Sn0.625I3,0,0,1,0,0,0.13,0,0.13,0.13,0.63,0,0,0,1,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.13,2665.25,731.39,5.88,105.45,64.63,674.72,10.54,260.13,1.71,44.75,4.88,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
35547,CsBa0.125Ca0.125Ge0.125Sn0.625Cl3,0,0,1,0,0,0.13,0,0.13,0.13,0.63,0,1,0,0,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.13,2665.25,731.39,5.88,105.45,64.63,674.72,10.54,260.13,1.71,44.75,4.88,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17,3
35548,CsBa0.125Ca0.125Ge0.125Sn0.625Br3,0,0,1,0,0,0.13,0,0.13,0.13,0.63,0,0,1,0,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.13,2665.25,731.39,5.88,105.45,64.63,674.72,10.54,260.13,1.71,44.75,4.88,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
35549,CsBa0.125Ca0.125Ge0.125Pb0.125Sr0.500I3,0,0,1,0,0,0.13,0.5,0.13,0.13,0,0.13,0,0,1,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.19,1948.13,1011.77,4,100.96,-81.25,596.04,10.74,169.33,1.25,42.75,5,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
35550,CsBa0.125Ca0.125Ge0.125Pb0.125Sr0.500Cl3,0,0,1,0,0,0.13,0.5,0.13,0.13,0,0.13,1,0,0,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.19,1948.13,1011.77,4,100.96,-81.25,596.04,10.74,169.33,1.25,42.75,5,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17,3
35551,CsBa0.125Ca0.125Ge0.125Pb0.125Sr0.500Br3,0,0,1,0,0,0.13,0.5,0.13,0.13,0,0.13,0,1,0,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.19,1948.13,1011.77,4,100.96,-81.25,596.04,10.74,169.33,1.25,42.75,5,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
35552,CsBa0.125Ca0.125Ge0.125Pb0.125Sn0.125Sr0.375I3,0,0,1,0,0,0.13,0.38,0.13,0.13,0.13,0.13,0,0,1,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.18,2100.75,944.66,4.59,104.85,-45.13,615.93,10.61,188.52,1.38,44.25,5,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
35553,CsBa0.125Ca0.125Ge0.125Pb0.125Sn0.125Sr0.375Cl3,0,0,1,0,0,0.13,0.38,0.13,0.13,0.13,0.13,1,0,0,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.18,2100.75,944.66,4.59,104.85,-45.13,615.93,10.61,188.52,1.38,44.25,5,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17,3
35554,CsBa0.125Ca0.125Ge0.125Pb0.125Sn0.125Sr0.375Br3,0,0,1,0,0,0.13,0.38,0.13,0.13,0.13,0.13,0,1,0,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.18,2100.75,944.66,4.59,104.85,-45.13,615.93,10.61,188.52,1.38,44.25,5,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
35555,CsBa0.125Ca0.125Ge0.125Pb0.125Sn0.250Sr0.250I3,0,0,1,0,0,0.13,0.25,0.13,0.13,0.25,0.13,0,0,1,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.16,2253.38,877.55,5.19,108.73,-9,635.81,10.49,207.7,1.51,45.75,5,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
35556,CsBa0.125Ca0.125Ge0.125Pb0.125Sn0.250Sr0.250Cl3,0,0,1,0,0,0.13,0.25,0.13,0.13,0.25,0.13,1,0,0,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.16,2253.38,877.55,5.19,108.73,-9,635.81,10.49,207.7,1.51,45.75,5,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17,3
35557,CsBa0.125Ca0.125Ge0.125Pb0.125Sn0.250Sr0.250Br3,0,0,1,0,0,0.13,0.25,0.13,0.13,0.25,0.13,0,1,0,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.16,2253.38,877.55,5.19,108.73,-9,635.81,10.49,207.7,1.51,45.75,5,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
35558,CsBa0.125Ca0.125Ge0.125Pb0.125Sn0.375Sr0.125I3,0,0,1,0,0,0.13,0.13,0.13,0.13,0.38,0.13,0,0,1,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.15,2406,810.44,5.79,112.62,27.13,655.7,10.36,226.88,1.63,47.25,5,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
35559,CsBa0.125Ca0.125Ge0.125Pb0.125Sn0.375Sr0.125Cl3,0,0,1,0,0,0.13,0.13,0.13,0.13,0.38,0.13,1,0,0,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.15,2406,810.44,5.79,112.62,27.13,655.7,10.36,226.88,1.63,47.25,5,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17,3
35560,CsBa0.125Ca0.125Ge0.125Pb0.125Sn0.375Sr0.125Br3,0,0,1,0,0,0.13,0.13,0.13,0.13,0.38,0.13,0,1,0,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.15,2406,810.44,5.79,112.62,27.13,655.7,10.36,226.88,1.63,47.25,5,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
35561,CsBa0.125Ca0.125Ge0.125Pb0.125Sn0.500I3,0,0,1,0,0,0.13,0,0.13,0.13,0.5,0.13,0,0,1,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.14,2558.63,743.33,6.38,116.51,63.25,675.59,10.24,246.07,1.76,48.75,5,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
35562,CsBa0.125Ca0.125Ge0.125Pb0.125Sn0.500Cl3,0,0,1,0,0,0.13,0,0.13,0.13,0.5,0.13,1,0,0,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.14,2558.63,743.33,6.38,116.51,63.25,675.59,10.24,246.07,1.76,48.75,5,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17,3
35563,CsBa0.125Ca0.125Ge0.125Pb0.125Sn0.500Br3,0,0,1,0,0,0.13,0,0.13,0.13,0.5,0.13,0,1,0,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.14,2558.63,743.33,6.38,116.51,63.25,675.59,10.24,246.07,1.76,48.75,5,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
35564,CsBa0.125Ca0.125Ge0.125Pb0.250Sr0.375I3,0,0,1,0,0,0.13,0.38,0.13,0.13,0,0.25,0,0,1,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.18,1994.13,956.6,5.1,115.91,-46.5,616.79,10.31,174.46,1.43,48.25,5.13,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
35565,CsBa0.125Ca0.125Ge0.125Pb0.250Sr0.375Cl3,0,0,1,0,0,0.13,0.38,0.13,0.13,0,0.25,1,0,0,0,0,0,1,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.18,1994.13,956.6,5.1,115.91,-46.5,616.79,10.31,174.46,1.43,48.25,5.13,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17,3
